ATM_CE_AND_PE,NFO Trading Symbol,Trading Symbol,Lotsize,LTP,PERCENTAGEOF_LTP,PREMIUM_COLLECTED,2023-12-26,2023-12-22,2023-12-21,2023-12-20,2023-12-19,2023-12-18,2023-12-15,Symbol
4,HINDPETRO,HINDPETRO23DECFUT,2700,380.05,1.052493093014077,10800.0,6,11.55,14.25,16.45,19.9,22.4,25.1,HINDPETRO23DECFUT
10,HINDUNILVR,HINDUNILVR23DECFUT,300,2603.25,0.38413521559588976,3000.0,24,33.2,40.3,49.7,57.6,68.6,65.25,HINDUNILVR23DECFUT
7,IBULHSGFIN,IBULHSGFIN23DECFUT,5100,213.8,3.2740879326473333,35700.0,3,11.25,14.3,18.05,18.75,22.8,57.55,IBULHSGFIN23DECFUT
10,ICICIBANK,ICICIBANK23DECFUT,700,1003.55,0.9964625579193862,7000.0,13,20.05,24.0,26.0,26.950000000000003,30.35,28.65,ICICIBANK23DECFUT
8,ICICIGI,ICICIGI23DECFUT,500,1416.25,0.5648720211827007,4000.0,7,33.8,162.8,175.8,49.95,58.95,58.650000000000006,ICICIGI23DECFUT
7,ICICIPRULI,ICICIPRULI23DECFUT,1500,525.05,1.333206361298924,10500.0,5,11.85,16.15,20.15,23.8,26.05,26.75,ICICIPRULI23DECFUT
0,IDEA,IDEA23DECFUT,80000,13.4,0.0,0.0,0,0.8,1.0,1.0,1.25,1.35,1.35,IDEA23DECFUT
1,IDFC,IDFC23DECFUT,5000,125,0.8,5000.0,1,2.85,3.8,4.75,5.5,5.6,5.699999999999999,IDFC23DECFUT
1,IDFCFIRSTB,IDFCFIRSTB23DECFUT,7500,89.05,1.1229646266142617,7500.0,1,2.35,3.0,3.6,4.4,4.6,4.7,IDFCFIRSTB23DECFUT
2,IEX,IEX23DECFUT,3750,154.45,1.2949174490126254,7500.0,3,5.15,6.199999999999999,7.6,10.5,11.0,10.4,IEX23DECFUT
4,IGL,IGL23DECFUT,1375,410.45,0.9745401388719698,5500.0,4,11.45,14.3,17.6,19.95,22.55,19.5,IGL23DECFUT
4,INDHOTEL,INDHOTEL23DECFUT,2000,437.4,0.9144947416552356,8000.0,4,10.7,12.4,15.2,17.35,19.25,18.95,INDHOTEL23DECFUT
7,INDIACEM,INDIACEM23DECFUT,2900,257.95,2.7137042062415198,20300.0,7,11.45,9.8,17.45,25.7,16.75,17.7,INDIACEM23DECFUT
27,INDIAMART,INDIAMART23DECFUT,300,2765,0.976491862567812,8100.0,27,94.7,126.25,149.5,151.7,165.45,177.55,INDIAMART23DECFUT
25,INDIGO,INDIGO23DECFUT,300,2927.1,0.8540876635577876,7500.0,25,64.3,83.85,161.9,120.65,131.4,133.25,INDIGO23DECFUT
12,INDUSINDBK,INDUSINDBK23DECFUT,500,1596.55,0.751620682095769,6000.0,19,28.950000000000003,38.95,41.0,47.15,46.6,52.45,INDUSINDBK23DECFUT
4,INDUSTOWER,INDUSTOWER23DECFUT,3400,186.65,2.143048486472006,13600.0,3,6.199999999999999,11.45,8.45,15.55,15.7,14.7,INDUSTOWER23DECFUT
14,INFY,INFY23DECFUT,400,1565.2,0.8944543828264758,5600.0,19,31.8,39.400000000000006,42.95,47.45,54.1,55.8,INFY23DECFUT
1,IOC,IOC23DECFUT,9750,126.7,0.7892659826361484,9750.0,2,3.15,4.199999999999999,4.65,5.449999999999999,6.0,6.35,IOC23DECFUT
16,IPCALAB,IPCALAB23DECFUT,650,1061.65,1.5070880233598642,10400.0,16,45.1,71.75,74.85,53.8,65.1,55.15,IPCALAB23DECFUT
6,IRCTC,IRCTC23DECFUT,875,866.75,0.6922411306605134,5250.0,16,37.35,56.75,50.05,66.15,69.9,41.75,IRCTC23DECFUT
3,ITC,ITC23DECFUT,1600,456.55,0.6571021793888949,4800.0,3,6.55,8.55,10.2,13.0,13.5,14.35,ITC23DECFUT
11,JINDALSTEL,JINDALSTEL23DECFUT,1250,733.1,1.5004774246351111,13750.0,11,22.7,22.75,25.700000000000003,32.5,37.3,40.45,JINDALSTEL23DECFUT
48,JKCEMENT,JKCEMENT23DECFUT,250,3777.45,1.2706984870746139,12000.0,48,118.7,126.25,179.0,174.5,193.6,194.85,JKCEMENT23DECFUT
11,JSWSTEEL,JSWSTEEL23DECFUT,675,879.05,1.2513508901655197,7425.0,28,20.1,24.15,28.15,34.099999999999994,38.35,37.55,JSWSTEEL23DECFUT
7,JUBLFOOD,JUBLFOOD23DECFUT,1250,568.45,1.2314187703403991,8750.0,8,16.950000000000003,21.35,24.9,26.4,28.9,29.8,JUBLFOOD23DECFUT
14,KOTAKBANK,KOTAKBANK23DECFUT,400,1896.65,0.7381435689241558,5600.0,14,27.9,35.0,39.6,44.4,49.8,51.8,KOTAKBANK23DECFUT
1,L&TFH,L&TFH23DECFUT,4462,155.65,0.6424670735624799,4462.0,2,4.550000000000001,5.65,6.75,8.100000000000001,9.1,9.8,L&TFH23DECFUT
31,LALPATHLAB,LALPATHLAB23DECFUT,300,2574,1.2043512043512044,9300.0,42,94.8,128.4,114.55,148.75,135.9,129.55,LALPATHLAB23DECFUT
5,LAURUSLABS,LAURUSLABS23DECFUT,1700,431.65,1.1583458820803894,8500.0,5,13.2,14.75,16.15,19.5,23.05,21.75,LAURUSLABS23DECFUT
5,LICHSGFIN,LICHSGFIN23DECFUT,2000,523.15,0.9557488292076843,10000.0,8,11.15,14.4,18.35,21.1,24.55,25.200000000000003,LICHSGFIN23DECFUT
