,2023-12-27,2023-12-26,2023-12-22,2023-12-21,2023-12-20,2023-12-19,2023-12-18,Symbol,2023-12-28
147,72.4,199.45,235.5,80.65,225.45,193.65,193.65,BSOFT24JANFUT,67
148,0.0,713.65,289.95,276.7,257.5,560.7,0.0,BRITANNIA24JANFUT,273
149,38.0,151.64999999999998,129.6,132.05,122.45,37.8,37.6,BPCL24JANFUT,42
150,2827.05,2768.35,2658.0,2658.0,2554.15,2768.35,2827.05,BOSCHLTD24JANFUT,737
151,21.45,39.7,22.0,37.3,20.75,23.7,42.4,BIOCON24JANFUT,20
152,20.55,21.95,22.9,26.1,25.6,62.9,29.7,BHEL24JANFUT,22
153,52.45,53.65,53.95,113.75,51.8,65.0,67.55,BHARTIARTL24JANFUT,47
154,249.75,226.3,99.1,91.7,191.8,218.95,253.7,BHARATFORG24JANFUT,84
155,78.15,74.15,74.15,38.75,65.6,49.6,49.95,BERGEPAINT24JANFUT,39
156,19.65,20.9,46.0,0.0,48.05,18.05,18.950000000000003,BEL24JANFUT,18
157,84.2,79.9,79.9,162.85,79.9,180.65,180.65,BATAINDIA24JANFUT,100
158,1742.0500000000002,1671.6,1733.0,1728.75,1773.95,1792.9,1773.0500000000002,BANKNIFTY24JANFUT,1644
159,20.95,19.15,19.1,19.4,19.65,21.4,44.1,BANKBARODA24JANFUT,19
160,24.9,40.45,40.45,25.55,42.650000000000006,25.85,58.55,BANDHANBNK24JANFUT,23
161,55.15,53.85,53.85,53.85,58.2,55.15,68.0,BALRAMCHIN24JANFUT,39
162,277.6,276.15,353.70000000000005,185.4,361.55,352.55,352.55,BALKRISIND24JANFUT,160
163,488.25,502.5,480.9,459.4,431.65,494.85,839.3,BAJFINANCE24JANFUT,454
164,113.25,108.45,216.65,223.9,109.4,98.7,257.45,BAJAJFINSV24JANFUT,101
165,442.55,394.55,380.75,405.2,382.6,442.6,1391.0,BAJAJ-AUTO24JANFUT,412
166,65.65,63.4,64.8,64.4,67.4,69.4,71.94999999999999,AXISBANK24JANFUT,62
167,108.2,110.0,118.3,114.5,110.35,105.4,190.0,AUROPHARMA24JANFUT,97
168,70.1,72.15,72.4,76.8,67.0,60.25,62.85,AUBANK24JANFUT,66
